lsl_timestamp,ch1,ch2,ch3,ch4
753365.3162250936,12.20703125,-23.4375,-57.6171875,-20.99609375,302.734375
753365.3200386585,-20.99609375,-23.92578125,-68.84765625,-21.484375,859.375
753365.3238522233,-51.7578125,-22.94921875,-70.80078125,-24.4140625,647.94921875
753365.3276657882,-8.7890625,-25.87890625,-82.03125,-10.7421875,-207.03125
753365.3314793531,33.69140625,-18.5546875,-96.6796875,14.16015625,69.82421875
753365.335292918,4.8828125,-5.859375,-90.33203125,4.8828125,407.2265625
753365.3391064829,-43.45703125,-26.3671875,-92.7734375,-16.6015625,-230.95703125
753365.3429200478,-27.34375,-22.4609375,-73.2421875,-1.953125,-286.1328125
753365.3467336127,10.25390625,-12.20703125,-23.4375,-4.39453125,-19.53125
753365.3505471776,-6.34765625,-15.625,-13.18359375,-19.53125,-111.81640625
753365.3543607425,-46.875,-14.16015625,-23.92578125,-27.83203125,-348.6328125
753365.3581743074,-32.2265625,-34.66796875,-73.2421875,-28.3203125,-496.09375
753365.3619878723,18.06640625,-39.0625,-92.7734375,-0.9765625,-199.21875
753365.3658014372,13.18359375,-28.80859375,-39.0625,7.8125,255.37109375
